2019-11-18 15:38:51
Running ./bin/learned_b
Run on (8 X 2500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 262K (x4)
  L3 Unified 6291K (x1)
Load Average: 2.06, 2.73, 3.37
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"fpr","num_hashes","table_size"
"MyFixtureLearned/TestBloomFilterStringQuery/10/16777216/131072",6,1.32258e+08,1.1488e+08,ns,,,,,,0.000762939,3,8.06704e+07
"MyFixtureLearned/TestBloomFilterStringQuery/64/16777216/131072",5,1.54878e+08,1.36567e+08,ns,,,,,,0.000762939,6,1.45226e+08
"MyFixtureLearned/TestBloomFilterStringQuery/512/16777216/131072",6,1.32703e+08,1.19747e+08,ns,,,,,,0.000762939,9,2.1784e+08
"MyFixtureLearned/TestBloomFilterStringQuery/4096/16777216/131072",6,1.96229e+08,1.49155e+08,ns,,,,,,0.000762939,12,2.90453e+08
"MyFixtureLearned/TestBloomFilterStringQuery/8192/16777216/131072",5,1.48349e+08,1.42151e+08,ns,,,,,,0.000762939,13,3.14657e+08
"MyFixtureLearned/TestBloomFilterStringQuery/10/134217728/131072",4,2.24667e+08,1.751e+08,ns,,,,,,0.000762939,3,6.45363e+08
"MyFixtureLearned/TestBloomFilterStringQuery/64/134217728/131072",3,2.37738e+08,2.05596e+08,ns,,,,,,0.000762939,6,1.16181e+09
"MyFixtureLearned/TestBloomFilterStringQuery/512/134217728/131072",3,2.08779e+08,1.74359e+08,ns,,,,,,0.000762939,9,1.74272e+09
"MyFixtureLearned/TestBloomFilterStringQuery/4096/134217728/131072",4,1.70655e+08,1.53145e+08,ns,,,,,,0.000762939,12,-1.97134e+09
"MyFixtureLearned/TestBloomFilterStringQuery/8192/134217728/131072",5,1.55276e+08,1.40364e+08,ns,,,,,,0.000762939,13,-1.77771e+09
"MyFixtureLearned/TestBloomFilterStringQuery/10/1000000000/131072",5,1.15379e+08,1.14714e+08,ns,,,,,,0.000762939,3,5.1336e+08
"MyFixtureLearned/TestBloomFilterStringQuery/64/1000000000/131072",6,1.119e+08,1.07971e+08,ns,,,,,,0.000762939,6,6.62357e+07
"MyFixtureLearned/TestBloomFilterStringQuery/512/1000000000/131072",7,9.48429e+07,9.3759e+07,ns,,,,,,0.000762939,9,9.93535e+07
"MyFixtureLearned/TestBloomFilterStringQuery/4096/1000000000/131072",7,1.53725e+08,1.31579e+08,ns,,,,,,0.000762939,12,1.32471e+08
"MyFixtureLearned/TestBloomFilterStringQuery/8192/1000000000/131072",5,1.17471e+08,1.12947e+08,ns,,,,,,0.000762939,13,1.57517e+09
