2020-04-17 11:04:25
Running ./bin/learned_b
Run on (8 X 2500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 262K (x4)
  L3 Unified 6291K (x1)
Load Average: 1.54, 2.02, 2.53
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"fpr","lbf_size","num_hashes","table_size","target_fpr","tau"
"MyFixtureLearned/TestBloomFilterStringQuery/3/29",3,2.09075e+08,2.0886e+08,ns,,,,,,23.1103,88628,5,70352,0.0448379,1
"MyFixtureLearned/TestBloomFilterStringQuery/4/0",1,4.60177e+09,4.56189e+09,ns,,,,,,11.1449,88628,5,71184,0.0431172,0.25
"MyFixtureLearned/TestBloomFilterStringQuery/4/1",1,4.77393e+09,4.77149e+09,ns,,,,,,10.1125,88628,5,71184,0.0431172,0.275
"MyFixtureLearned/TestBloomFilterStringQuery/4/2",1,4.78881e+09,4.78557e+09,ns,,,,,,9.72529,88628,5,71184,0.0431172,0.3
"MyFixtureLearned/TestBloomFilterStringQuery/4/3",1,4.7408e+09,4.73816e+09,ns,,,,,,9.61468,88628,5,71184,0.0431172,0.325
"MyFixtureLearned/TestBloomFilterStringQuery/4/4",1,4.64372e+09,4.64127e+09,ns,,,,,,8.98783,88628,5,71184,0.0431172,0.35
"MyFixtureLearned/TestBloomFilterStringQuery/4/5",1,4.70336e+09,4.66421e+09,ns,,,,,,8.69285,88628,5,71184,0.0431172,0.375
"MyFixtureLearned/TestBloomFilterStringQuery/4/6",1,4.71078e+09,4.70843e+09,ns,,,,,,8.15819,88628,5,71184,0.0431172,0.4
"MyFixtureLearned/TestBloomFilterStringQuery/4/7",1,4.65562e+09,4.65232e+09,ns,,,,,,7.92773,88628,5,71184,0.0431172,0.425
"MyFixtureLearned/TestBloomFilterStringQuery/4/8",1,4.72449e+09,4.72186e+09,ns,,,,,,7.4115,88628,5,71184,0.0431172,0.45
